Transit_Sy,Transit_Li,Station_Na,Built_Year,Lat,Lon,Station_ID,ALAND00,Geo_FIPS,Geo_HU100,TotalPop00,AreaTotal00,Aland00,PopDen00,Awater00,MedianAge00,MedianHouseholdSize00,TotalHH00,Pop15YearOver00,Single00,Married00,PctSingleOver15Yrs00,Pop25YearsOver00,LessThanHighSchool00,PctLessThanHighSchool00,HighSchoolOrMore00,PctBachelorDegreeOrMore00,BachelorDegreeOrMor00,MasterDegreeOrMore00,ProfessionDegreeOrMore00,DoctoralDegreeOrMore00,CivilianOver16InLaborForce00,Employed,Unemployed,UnemploymentRate00,TotalHHInc00,MedianHHIncome00,MedianHHIncome00In15Dollars,TotalCapitaIncome00,MedianCapitaIncome00,MedianCapitaIncomeIn15Dollars,Owner_OccupiedHU,Renter_OccupiedHU,PctOwnerOccupiedHU00,HU00,Occupied_HU00,Vac_HU00,Vacancy00,PctSingleFamilyUnit,HU_1Unit,HU_2Units,HU_3or4Uni,HU_5to9Uni,HU_10to19U,HU_20to49U,HU_50Unito,Pct50UnitsOrMore,MedianYearBuilt,MedianBuildingHistoryTill2000,MedianOwnerOccupiedHUValue,MedianOwnerOccupiedHUValueIn15Dollars,MedianGrossRent00,MedianGrossRent00In2015Dollars,WorkersOve,PctCarTW00,CarToWork,PctTranTW00,PublicTran,BikeToWork,WalkToWork,WorkAtHome,MedianTimeTW00,County,State,ALAND_12,TotalPop15,PopDen15,ALANDSQMIL,CivilianOver16InLaborForce,Employed15,Unemployed15,UnemploymentRate15,MedianMedianHHIncome15,HH15,TotalHHIncome15,MedianHHIncome15,HU15,OccupiedHU15,VacantHU15,Vacancy15,OwnerOccupiedHU15,MedianOwnerOccupiedHUValue15,PctOwnerOccupiedHU15,RenterOccupiedHU15,MedianGrossRent15,WorkersOver16,PctCartW15,CarTW,DriveAlong,CarPoolTW,PublicTran_1,PctTranTW15,BicycleTW,WalkTW,WorkAtHome_1,MedianAveCommute,TotalCommuteTime15,AverageCommuteTime,UnemploymentRateDecrease,StandardizedUnemploymentRateDecrease,PctPropertyValueIncrease,StandardizedPctPropertyValueIncrease,VacancyDecrease,StandardizedVacancyDecrease,PctPopulationDensityIncrease,StandardizedPopulationDensityIncrease,PctMedianHHIncomeIncrease,StandardizedPctMedianHHIncomeIncrease,PctTranTWIncrease,StandardizedPctTranTWIncrease,PctCarTWDecrease,StandardizedPctCarTWDecrease,TimeTWDecrease,StandardizedTimeTWDecrease,DI,TPCI,predictedvalueDI,residualsDI,predictedvalueTPCI,residualsTPCI,DICluster,TPCICluster
Tri-Rail,Tri-Rail,West Palm Beach,Pre-2000,26.713207,-80.062267,139,11473315,12099002800,9106,18899,5.341072,4.3045865,4390.43332,1.0364851,37.74992857,2.188125879,7817,15564,10447,5117,0.671228476,12630,3893,0.308234363,8737,0.221377672,2796,1119,516,74,8773,8261,512,0.05836088,225084034,28794.17091,39866.10551,353473747,18703.30425,25895.0988,3125,4692,0.399769733,9106,7817,1289,0.141555019,0.374478366,3410,487,501,533,670,909,2568,0.28201186,1967.239952,32.76004832,117954.24,163310.0044,583.1265985,807.3504381,8100,0.862839506,6989,0.039259259,318,62,425,140,21.31222222, Palm Beach County, Florida,9141434,19504,5728.09,3.52952755,10202,9481,721,0.070672417,40851.5,8387,371798799,44330.36831,12371,8387,3984,0.322043489,2772,247866.811,0.330511506,5615,1094.547462,9296,0.772805508,7184,6661,523,226,0.024311532,203,803,800,20.5,184125,19.8069062,-0.012311537,-0.148022495,0.517768687,0.43377157,-0.18048847,-3.564762895,0.304675321,-0.272343688,0.111981412,0.0358257,-0.014947727,-0.489901435,0.090033998,0.722636747,1.505316026,0.872286375,-3.515531809,1.105021688,-0.384444444,-3.131087365,-1.025732627,2.130754315,2,2
WMATA,"Metrorail Green Line(Green), Metrorail Yellow Line(Yellow)",MT VERNON SQ/7TH ST-CONVENTION CENTER,Pre-2000,38.901056,-77.022025,50,3585013,11001005800,10835,20908,1.3781283,1.3781283,15171.30154,0,34.01384159,1.988810066,9656,17637,13579,4058,0.769915519,14385,4687,0.325825513,9698,0.271880431,3911,1756,746,254,11065,9710,1355,0.122458202,279294030,28924.40244,40046.41367,447491895,21402.90296,29632.7472,1533,8123,0.158761392,10835,9656,1179,0.108814029,0.116474389,1262,315,619,640,1039,901,6009,0.554591601,1966.592063,33.40793724,181946.5753,251908.6725,558.0609381,772.64653,9523,0.310196367,2954,0.341594035,3253,253,2543,382,25.54793657, District of Columbia, District of Columbia,3572249,27764,24097.065,1.379253108,19271,18297,974,0.050542266,86108,15525,1236967289,79675.83182,17003,15525,1478,0.086925837,3463,483138.7237,0.223059581,12062,1565.393053,18080,0.211780973,3829,3418,411,5618,0.310730088,818,6951,808,23,433131,23.95636062,0.071915936,1.150738371,0.917912229,1.544936962,0.021888192,1.165435627,0.588332085,0.064825979,0.989587194,2.890393508,-0.030863947,-0.817684455,0.098415393,0.860268387,1.591575955,0.910353579,6.816330446,0.95293751,4.060975742,2.755354704,-1.008470928,1.961408438,2,2
WMATA,"Metrorail Blue Line(Blue), Metrorail Orange Line(Orange)",SMITHSONIAN METRO STATION,Pre-2000,38.887587,-77.028174,56,2150638,11001005800,2923,3914,0.8685731,0.8169513,4790.983257,0.05162186,42.322279,1.524836131,2502,3554,2554,1000,0.718626899,3160,494,0.156329114,2666,0.57943038,1831,1044,505,222,2489,2379,110,0.044194456,109007905,43568.30735,60321.1929,160249984,40942.76546,56686.07763,645,1857,0.257793765,2923,2502,421,0.144030106,0.076291481,223,19,42,160,65,120,2068,0.707492302,1974.767704,25.23229559,132003.7209,182761.7917,861.5686591,1192.85904,2345,0.298507463,700,0.379530917,890,10,686,50,24.07633262, District of Columbia, District of Columbia,8697701,5435,5284.572,3.358201274,4004,3794,210,0.052447552,100670,3184,356909238,112094.6099,3881,3184,697,0.179592888,1123,470659.3054,0.352701005,2061,2008.608443,3804,0.233964248,890,827,63,1451,0.381440589,74,1118,266,22,86669,22.78364879,-0.008253097,-0.085442635,1.575260951,3.370339782,-0.035562782,-0.17737985,0.103024518,-0.512036664,0.858295643,2.463344547,0.001909672,-0.142735496,0.064543215,0.304050287,1.292683832,0.77845007,5.058825181,0.939764861,4.572012166,0.486813015,-0.925010698,1.864775559,2,2
MTS,Green Line,Fenton Parkway Station,2005,32.77859408,-117.1267331,90,15246004,6073009303,9772,19845,6.0193028,6.0075568,3303.339554,0.01174639,34.53173595,2.175431299,9112,17292,9562,7730,0.552972473,14692,1084,0.07378165,13608,0.420364824,6176,1860,653,138,11800,11347,453,0.038389831,498552146,54713.80004,75752.35044,586938682,29576.14926,40948.77017,4428,4684,0.48595259,9772,9112,660,0.06753991,0.488845682,4777,90,361,675,1095,969,1799,0.184097421,1974.681334,25.31866558,205361.6305,284327.2847,1071.615927,1483.673683,11648,0.924879808,10773,0.021978022,256,66,147,329,21.77901786, San Diego County, California,12377483,21889,4308.896,4.778973108,12939,12204,735,0.056805008,79088.5,9713,751010760,77320.16473,10738,9713,1025,0.095455392,3729,438271.1987,0.38391846,5984,1894.20889,12842,0.839666719,10783,9704,1079,545,0.042438872,44,208,1022,20,258880,20.15885376,-0.018415178,-0.24213869,0.541432083,0.499482854,-0.027915482,0.001362343,0.30440602,-0.272663794,0.020696576,-0.261094353,0.02046085,0.239312595,0.085213089,0.643472161,1.620164096,0.922969756,-0.275051639,1.805754512,-1.22407321,0.949021571,0.019623025,1.786131487,3,1
DART,"DART RAIL ORANGE LINE(ORANGE), DART RAIL RED LINE(RED)",PARK LANE STATION,Pre-2000,32.872791,-96.765717,104,9779594,48113007816,18388,39309,3.8425672,3.8425672,10229.87965,0,28.79833117,2.321337829,16609,30621,17773,12848,0.580418667,22785,7484,0.328461707,15301,0.227386438,5181,1649,577,119,20743,19296,1447,0.069758473,520834818,31358.5898,43416.59475,711600139,18102.7281,25063.58911,1434,15175,0.086338732,18388,16609,1779,0.096747879,0.073036763,1343,263,981,2169,2698,1594,9281,0.504731347,1976.447411,23.55258864,261237.0293,361687.8918,552.1506425,764.4636076,18850,0.831777188,15679,0.118302387,2230,31,441,293,29.46843501, Dallas County, Texas,8178676,26012,8719.892,3.157804592,12901,11856,1045,0.081001473,26458,10607,374528405,35309.55077,12872,10607,2265,0.175963331,1302,368884.6874,0.122749128,9305,751.1274584,11687,0.779755284,9113,7346,1767,1461,0.125010696,0,325,360,28,318187,27.22572089,-0.011243,-0.131545991,0.019897806,-0.94877453,-0.079215452,-1.197684228,-0.147605612,-0.809949101,-0.18672685,-0.935775682,0.006708308,-0.043911054,0.052021905,0.09843673,2.242714127,1.197706114,-4.023729531,1.25223179,-1.115194825,-2.908534706,-0.463287555,1.715519345,1,2
NJ TRANSIT RAIL,Northeast Corridor,HAMILTON,Pre-2000,40.255309,-74.70412,128,10495374,34021002902,2932,7448,4.102333,4.102333,1815.552272,0,37.67682599,2.6,2850,5959,2658,3301,0.446047995,5150,1097,0.213009709,4053,0.160582524,827,250,61,19,3907,3754,153,0.039160481,148776274,52202.2014,72274.99189,161539423,21688.96657,30028.80799,2037,813,0.714736842,2932,2850,82,0.027967258,0.760231924,2229,213,55,130,123,15,158,0.053888131,1955.079127,44.92087312,132763.9175,183814.2991,668.3234932,925.3072429,3652,0.920591457,3362,0.038882804,142,21,56,60,26.46002191, Mercer County, New Jersey,10519930,7591,1900.1345,4.061767854,4311,3919,392,0.090930179,65440,2791,174730424,62604.95306,3030,2791,239,0.078877888,1799,245766.7593,0.644571838,992,1076.318548,3840,0.8875,3408,2977,431,217,0.056510417,7,47,133,23,87270,22.7265625,-0.051769697,-0.756454785,0.337038307,-0.06810169,-0.05091063,-0.536108792,0.046587603,-0.579120614,-0.133795087,-0.763605773,0.017627613,0.180964115,0.033091457,-0.212421862,3.733459406,1.855584047,-2.703391654,1.8241263,-2.639000141,-0.064391513,0.116628111,1.707498189,3,3
Metro-North Railroad,"New Canaan, New Haven",New Rochelle,Pre-2000,40.911605,-73.783807,115,6674795,36119006100,10983,30390,2.600843,2.5951723,11710.20514,0.005670683,33.94646265,2.79328015,10655,23997,13432,10565,0.559736634,19697,5737,0.291262629,13960,0.234198101,4613,2137,822,183,14272,13557,715,0.050098094,424195492,39811.87161,55120.33248,604933509,19905.67651,27559.80724,3610,7045,0.338808071,10983,10655,328,0.029864336,0.287080033,3153,1426,1287,745,731,1619,2014,0.183374306,1939.913047,60.08695256,217480.3047,301105.8315,800.0039744,1107.621503,13259,0.699072328,9269,0.171506147,2274,45,1386,209,26.90481937, Westchester County, New York,6671719,34883,14929.83,2.575965217,18698,17203,1495,0.079955075,60809,12043,646337894,53669.17662,13137,12043,1094,0.083276243,3765,426367.6228,0.312629743,8278,1400.500362,16948,0.59735662,10124,8274,1850,4218,0.248878924,25,1879,582,29,483232,28.51262686,-0.029856981,-0.418567666,0.416005863,0.151184656,-0.053411907,-0.594571741,0.274941799,-0.30768655,-0.026327052,-0.414047009,0.077372777,1.411372524,0.101715708,0.914463153,-1.607807491,-0.50156018,-1.583688309,1.824275496,-1.679078716,0.095390407,0.178965544,1.645309952,1,3
Metra,Union Pacific North(UP-N),Evanston (Davis St.) Metra,Pre-2000,42.0480556,-87.6847222,106,6770271,17031809600,11418,29658,2.6271553,2.6036606,11390.88559,0.0234947,29.46029739,2.168549256,10953,25932,16571,9361,0.63901743,16462,1978,0.12015551,14484,0.576175434,9485,4987,1835,1048,15261,13609,1652,0.108249787,462829636,42255.96969,58504.23515,755654273,25478.93563,35276.09596,4077,6876,0.372226787,11418,10953,465,0.040725171,0.259940445,2968,1233,632,784,836,2236,2705,0.236906639,1947.671133,52.3288667,230837.1106,319598.5964,888.0981675,1229.589675,13276,0.513332329,6815,0.170156674,2259,344,3092,720,27.02967761, Cook County, Illinois,6765587,30830,13318.78,2.612207856,14484,13286,1198,0.082711958,57835,10718,534535938,49872.73167,12099,10718,1381,0.114141665,4731,357439.9704,0.441406979,5987,1305.189911,13010,0.42121445,5480,4859,621,2823,0.216986933,604,2908,1140,28,347614,26.7189854,0.025537829,0.435602702,0.118402817,-0.675234295,-0.073416494,-1.062143775,0.169248861,-0.433318853,-0.147536387,-0.808301779,0.046830259,0.782371484,0.092117879,0.756856331,0.310692218,0.345089239,-2.543395999,1.884317054,0.231807084,-2.775203083,0.254601176,1.629715878,1,1
BART,"RICHMOND TO DALY CITY-MILLBRAE, FREMONT TO RICHMOND",Ashby BART,Pre-2000,37.853061,-122.269946,18,4289919,6001423601,10787,23998,1.6124164,1.6124164,14883.25224,0,33.08063172,2.292010917,10259,20372,14614,5758,0.717357157,15981,2213,0.138476941,13768,0.426694199,6819,3091,954,488,13440,12498,942,0.070089286,393973854,38402.75407,53169.38106,524862129,21871.07796,30280.94486,3659,6600,0.356662443,10787,10259,528,0.048947808,0.41596366,4487,1494,2179,1242,798,498,126,0.011680727,1941.863447,58.13655326,273369.8005,378485.9562,709.8784848,982.8409598,12264,0.572814742,7025,0.214448793,2630,965,849,626,28.49983692, Alameda County, California,4288375,25459,13577.45,1.655750915,15491,13930,1561,0.100768188,61543,10524,611438644,58099.45306,11358,10524,834,0.07342842,3829,611506.3202,0.363835044,6695,1272.903062,13594,0.431808151,5870,4891,979,3582,0.263498602,1442,1079,1349,29,404844,29.78107989,-0.030678902,-0.431241427,0.615664492,0.705620091,-0.024480613,0.081646368,-0.087736351,-0.738785281,0.092723893,-0.026812784,0.049049809,0.828081503,0.141006592,1.559662295,-1.281242967,-0.357444618,-0.409573032,2.03029918,-1.133675107,0.724102075,0.502760092,1.527539088,1,3
TriMet,MAX Blue Line,Orenco/NW 231st Ave MAX Station,Pre-2000,45.530257,-122.915467,57,21161650,41067032605,5851,13608,8.127211,8.127211,1674.375133,0,30.10605526,2.619582851,5178,10379,4000,6379,0.385393583,8698,651,0.074844792,8047,0.399862037,3478,1155,229,106,8017,7746,271,0.033803168,314445618,60727.23407,84078.07011,358894110,26373.75882,36514.99656,3055,2123,0.589996138,5851,5178,673,0.115023073,0.649119809,3798,88,98,643,744,141,265,0.045291403,1996,4,183683.9935,254314.1626,848.5741875,1174.867934,7610,0.86544021,6586,0.063863338,486,76,141,245,21.90854139, Washington County, Oregon,16340168,13251,1509.244,6.308974405,7556,7099,457,0.060481736,83240,5563,494250648,88846.06292,5989,5563,426,0.071130406,3009,283845.8292,0.5408952,2554,1258.442052,7022,0.775562518,5446,4913,533,537,0.076473939,176,301,520,21,147569,21.01523782,-0.026678568,-0.369557545,0.116122776,-0.681565778,0.043892667,1.679751532,-0.098622543,-0.751725193,0.056709113,-0.143957215,0.012610601,0.077642397,0.089877692,0.720070033,0.893303569,0.602200334,-0.2670542,1.399912764,1.056888353,-1.323942553,-0.112733704,1.512646468,3,3
BART,"RICHMOND TO DALY CITY-MILLBRAE, FREMONT TO RICHMOND",North Berkeley BART,Pre-2000,37.87402614,-122.2838819,7,4098867,6001423100,10038,20481,1.5724976,1.5724976,13024.50319,0,36.4159416,2.098995556,9677,17856,11597,6259,0.649473566,15074,1305,0.086572907,13769,0.622528858,9384,4600,1527,885,12505,12048,457,0.036545382,451674140,46675.01705,64622.49461,587007627,28661.08232,39681.84169,4587,5090,0.47401054,10038,9677,361,0.035963339,0.540346683,5424,1045,1037,958,725,527,317,0.031579996,1941.662084,58.33791592,298738.9361,413610.0318,747.9611002,1035.567102,11812,0.570606163,6740,0.201997968,2386,849,1087,644,28.17270572, Alameda County, California,4097372,22249,13734.91,1.582004241,13327,12708,619,0.046447062,69850,9918,710805514,71668.23089,10684,9918,766,0.071695994,4565,637369.8795,0.460274249,5353,1377.497665,12369,0.451532056,5585,4653,932,3003,0.24278438,1449,1047,1166,29,351098,28.38531813,-0.009901681,-0.110863271,0.540992313,0.498261649,-0.035732655,-0.181350317,0.05454387,-0.569663367,0.10902916,0.026222977,0.040786412,0.657902824,0.119074107,1.199506992,-0.212612411,0.114150679,-0.337392329,1.971560495,-1.247449415,0.910057086,0.49487181,1.476688685,1,3
MTS,Green Line,Mission Valley Center Station,2005,32.77115803,-117.1494515,86,12936273,6073000500,7721,15982,5.1647777,5.1530317,3101.475196,0.01174639,33.55285947,2.03902532,7346,14146,8276,5870,0.585041708,11411,765,0.067040575,10646,0.401279467,4579,1484,489,146,9536,9138,398,0.041736577,351736410,47881.35176,66292.68913,434923012,27213.30322,37677.36257,2876,4470,0.391505581,7721,7346,375,0.048568838,0.376894185,2910,175,672,1123,812,341,1676,0.217070328,1971.824375,28.17562492,205029.3463,283867.2306,948.3814318,1313.05306,9224,0.904921943,8347,0.023091934,213,69,199,332,20.62998699, San Diego County, California,12944360,21427,4456.2085,4.99784555,12540,11714,826,0.065869219,69562,9466,661782298,69911.50412,10559,9466,1093,0.10351359,3123,415294.4284,0.3299176,6343,1749.588996,12189,0.831897613,10140,9180,960,579,0.047501846,39,210,933,20,250581,20.5579621,-0.024132641,-0.330300163,0.46298827,0.281650898,-0.054944752,-0.630399301,0.436802882,-0.115289771,0.054588448,-0.150855055,0.024409912,0.320640655,0.07302433,0.443319452,0.072024893,0.23976342,-0.945193393,1.003723527,-1.659859163,0.71466577,-0.382121232,1.385844759,3,2
WMATA,"Metrorail Orange Line(Orange), Metrorail Blue Line(Blue)",ROSSLYN METRO STATION,Pre-2000,38.895493,-77.071954,41,11446115,51013101700,14707,26123,4.7639941,4.4311782,5895.271826,0.3328159,32.41688933,1.722589046,13785,24315,16463,7852,0.677071766,19049,1249,0.065567746,17800,0.727229776,13853,7976,3141,1063,16481,16166,315,0.019112918,917874400,66585.01269,92188.28178,1387681458,53121.06029,73547.1704,4704,9081,0.341240479,14707,13785,922,0.062691235,0.231386415,3403,273,640,1493,1720,1379,5781,0.393078126,1956.255321,43.7446794,337610.3316,467428.2564,940.3213302,1301.893688,17760,0.464808559,8255,0.288907658,5131,263,3092,910,23.41818694, Arlington County, Virginia,9388854,21732,15528.54,3.62505695,14810,14057,753,0.050844024,101307,10978,1361627152,124032.3512,13062,10978,2084,0.159546777,4753,894421.7336,0.432956823,6225,1870.944257,13841,0.395636153,5476,4949,527,4875,0.352214435,351,1981,963,25,345612,24.97016112,-0.031731106,-0.44746608,0.913495219,1.53267129,-0.096855541,-1.609990287,1.634066835,1.307842478,0.345424265,0.795139808,0.063306778,1.121693451,0.069172405,0.380066643,-1.551974179,-0.476920488,1.57819721,1.024839605,2.293930852,-0.715733642,-0.350809975,1.37564958,3,2
WMATA,"Metrorail Orange Line(Orange), Metrorail Red Line(Red), Metrorail Blue Line(Blue)",METRO CENTER METRO STATION,Pre-2000,38.898327,-77.027777,53,2838492,11001005800,9377,16959,1.08270609,1.08270609,15663.53063,0,33.29671561,1.935018516,8371,14284,10929,3355,0.765121815,11619,3647,0.313882434,7972,0.320767708,3727,1688,692,249,9091,8260,831,0.091409086,248706261,29710.46004,41134.72614,391734032,23098.88743,31980.87163,1359,7012,0.162346195,9377,8371,1006,0.107283779,0.107390423,1007,243,451,380,493,817,5881,0.62717287,1965.936867,34.0631332,182685.872,252932.2435,582.2344552,806.1152479,8114,0.277668228,2253,0.330909539,2685,251,2499,351,25.0456002, District of Columbia, District of Columbia,9183158,21451,20300.37,3.545637277,14889,14097,792,0.053193633,81591,12432,986982893,79390.51585,13620,12432,1188,0.08722467,2983,478006.8388,0.239945302,9449,1545.131972,13905,0.217979144,3031,2695,336,4162,0.299316793,497,5497,662,23,330391,23.76058972,0.038215453,0.631087635,0.889861222,1.467041644,0.02005911,1.122684049,0.296027727,-0.282622682,0.930012019,2.696614728,-0.031592747,-0.832693554,0.059689084,0.224340165,1.285010481,0.775063759,5.634805374,0.16671037,4.093807926,1.540997448,-1.148198684,1.314909054,2,2
WMATA,Metrorail Red Line(Red),WHITE FLINT METRO STATION,Pre-2000,39.047162,-77.112782,40,14851881,24031701213,9658,20859,5.8225694,5.8225694,3582.439052,0,40.9689918,2.178884919,9237,17791,8114,9677,0.456073295,15818,994,0.062839803,14824,0.672082438,10631,6033,3011,1397,11354,10969,385,0.033908755,789604277,85482.76248,118352.5943,1021518385,48972.5483,67803.47257,5289,3948,0.572588503,9658,9237,421,0.043590806,0.444398426,4292,38,189,966,926,539,2697,0.279250362,1977.555705,22.44429489,288787.4645,399832.0204,1056.324468,1462.502353,10888,0.735488611,8008,0.188831741,2056,16,214,540,31.25404115, Montgomery County, Maryland,14894983,27835,6920.548,5.750985333,16509,15422,1087,0.065842874,110390.5,12311,1405030417,114128.0495,12977,12311,666,0.051321569,5976,611203.4973,0.485419543,6335,1866.791949,15193,0.632923057,9616,8568,1048,3709,0.244125584,105,646,985,30.5,468665,30.84742974,-0.031934119,-0.450596469,0.528650699,0.463990011,-0.007730763,0.473144641,0.931797834,0.473087819,-0.035694569,-0.444516512,0.055293843,0.956672856,0.102565555,0.928418561,0.406611409,0.387419152,0.51510949,2.27251057,0.727541789,-0.212432299,0.978698418,1.293812152,3,1
Capitol Corridor Joint Powers Authority,Capitol Corridor,Emeryville,Pre-2000,37.840701,-122.291802,34,4304608,6001400800,6810,12706,2.372162,1.665923,7627.003169,0.7062396,35.67272155,1.959653822,6384,11032,7895,3137,0.715645395,9236,1478,0.160025985,7758,0.414898224,3832,1679,497,271,7311,6823,488,0.066748735,255891674,40083.28227,55496.10597,330991024,26049.97828,36066.71593,2309,4075,0.361685464,6810,6384,426,0.062555066,0.262848752,1790,631,673,297,259,301,2822,0.414390602,1963.266079,36.7339207,167475.4439,231873.1016,872.6230675,1208.164089,6679,0.680940261,4548,0.161101961,1076,137,407,387,26.97260069, Alameda County, California,4436283,16532,9371.967,1.712858514,11291,10465,826,0.073155611,66766,8790,617976284,70304.46917,9747,8790,957,0.098184057,3255,375504.3625,0.370307167,5535,1616.571454,10236,0.6153771,6299,5282,1017,2293,0.224013286,400,567,554,28,286642,28.00332161,-0.006406876,-0.056974494,0.619439081,0.71610181,-0.035628991,-0.17892735,0.228787611,-0.362547897,0.266836077,0.539517847,0.062911325,1.11354939,0.06556316,0.320798905,-1.030720921,-0.246887215,0.657169916,1.18746108,-0.645094306,1.302264222,-0.07213882,1.2595999,1,2
TriMet,MAX Blue Line,E 102nd Ave MAX Station,Pre-2000,45.522639,-122.558273,60,7289214,41051008100,6166,15120,2.7959003,2.7959003,5407.918158,0,35.79234127,2.520847051,5832,12096,6471,5625,0.534970238,9852,2086,0.211733658,7766,0.164129111,1617,528,168,21,7383,6917,466,0.063117974,196674480,33723.33333,46690.62947,250928908,16595.82725,22977.25474,3060,2772,0.524691358,6166,5832,334,0.054168018,0.575413558,3548,151,238,437,548,554,556,0.09017191,1962.497243,37.50275705,139939.085,193748.4619,639.2835498,885.1008603,6869,0.794293201,5456,0.115446208,793,27,254,294,24.39903916, Multnomah County, Oregon,7289490,19651,7050.859,2.814487944,9826,9046,780,0.079381233,35134,7451,257899450,34612.72983,7835,7451,384,0.049010849,2239,208162.8852,0.300496578,5212,939.0982348,8819,0.659031636,5812,4554,1258,1620,0.183694296,232,507,585,26,253596,28.75564123,-0.01626326,-0.208956801,0.074397614,-0.797433089,0.005157169,0.774377402,0.30380283,-0.273380777,-0.258679306,-1.169813753,0.068248089,1.223456176,0.135261565,1.465322696,-4.356602068,-1.714625431,-1.675207018,0.97415344,-1.581554225,-0.093652793,-0.241065659,1.215219099,1,3
BART,"DUBLIN/PLEASANTON TO DALY CITY, FREMONT TO DALY CITY, FREMONT TO RICHMOND",Fruitvale BART,Pre-2000,37.77462381,-122.2243277,9,2949382,6001406100,4344,16424,1.1654676,1.1430768,14368.23842,0.02239084,27.34042864,3.776108857,4189,12065,6294,5771,0.521674264,9297,4742,0.510057008,4555,0.097450791,906,325,182,60,5989,5386,603,0.100684588,136856279,32670.39365,45232.81342,187536307,11418.43077,15809.04577,1060,3129,0.253043686,4344,4189,155,0.0356814,0.429327808,1865,344,607,433,337,618,153,0.035220994,1953.652164,46.3478361,146083.0189,202254.8613,617.7861937,855.3373409,5169,0.674792029,3488,0.180305668,932,67,371,163,28, Alameda County, California,2950957,16136,23778.44,1.139370915,8336,7374,962,0.115403071,37695,4595,183358275,39903.86834,5044,4595,449,0.089016653,1051,276774.7859,0.228726877,3544,1069.512415,7131,0.589538634,4204,3185,1019,1837,0.257607629,147,494,294,31,213565,29.94881503,-0.014718483,-0.185136828,0.368445654,0.019113904,-0.053335254,-0.59278011,0.654930778,0.143988764,-0.117811489,-0.711616296,0.07730196,1.409914104,0.085253395,0.644134032,-1.948815033,-0.652049563,-1.326430567,1.401998573,0.024516865,-1.350947432,0.247623211,1.154375362,1,3
WMATA,Metrorail Red Line(Red),SILVER SPRING METRO STATION,Pre-2000,38.993658,-77.032307,35,8887130,24031702601,12727,25123,3.4410124,3.4410124,7301.048959,0,38.30652788,2.003272136,12310,21700,12379,9321,0.570460829,19138,1367,0.071428571,17771,0.631727453,12090,6715,3137,1008,15573,15050,523,0.033583767,740484529,60153.08928,83283.15517,901710337,35891.8257,49692.95051,4503,7807,0.365800162,12727,12310,417,0.032764988,0.364422095,4638,43,303,856,561,457,5856,0.460124146,1958.601477,41.39852283,255609.6602,353896.6868,860.4124504,1191.258246,15058,0.627506973,9449,0.283503785,4269,59,580,661,31.07617213, Montgomery County, Maryland,8860395,30283,11203.84,3.42101778,20162,18908,1254,0.062196211,79233,15264,1260129860,82555.67741,16276,15264,1012,0.062177439,5021,575835.4113,0.32894392,10243,1660.514302,18746,0.525712152,9855,8652,1203,6910,0.368611971,119,707,939,33,634900,33.86855863,-0.028612444,-0.399377296,0.627128574,0.737454894,-0.029412451,-0.03362668,0.534552098,0.000900198,-0.008734993,-0.356825729,0.085108185,1.570677656,0.101794821,0.915762276,-2.792386491,-1.024324462,-0.051474612,1.46211547,-0.766376867,0.714902255,0.326285185,1.135830285,3,1
Metro,Metro Red Line  (802),Hollywood / Highland Station,Pre-2000,34.101565,-118.338563,91,13393995,6037190800,29555,52426,5.1459495,5.1459495,10187.81859,0,34.01558769,1.833734688,28246,46846,31800,15046,0.678819963,39871,6554,0.164380126,33317,0.411903388,16423,5261,1866,501,31281,28309,2972,0.09500975,935543868,33121.28684,45857.08405,1501632391,28642.89458,39656.6604,4834,23412,0.171139276,29555,28246,1309,0.044290306,0.181931991,5377,587,1027,2180,3912,7851,8581,0.290340044,1960.352563,39.64743698,468389.5532,648494.7041,707.953699,980.1760553,27728,0.773369879,21444,0.097482689,2703,213,1352,1621,29.22601702, Los Angeles County, California,8634135,38528,17534.855,3.333658303,28154,25281,2873,0.10204589,45573.5,22262,1092069701,49055.32751,24778,22262,2516,0.10154169,3019,861493.4813,0.135612254,19243,1330.285195,24740,0.689248181,17052,15749,1303,2423,0.097938561,200,2116,2632,27.5,690748,27.92029103,-0.00703614,-0.066677549,0.328451066,-0.091947745,-0.057251384,-0.684312765,0.721158935,0.222711108,0.069743716,-0.101559867,0.000455872,-0.172675454,0.084121698,0.625550325,1.305725996,0.784205683,-0.721786818,1.237080553,-2.291765502,1.569978684,0.125999225,1.111081328,1,3
